wahltag,wahlberechtigte,waehler_waehlerinnen,gueltige_stimmen,spd,cdu,grüne,fdp,die_linke,sonstige
14.08.1949,411507,297333,293169,97583,127374, ,34399, ,33813
06.09.1953,480564,380895,371981,120823,194238, ,31634, ,25286
15.09.1957,533579,448534,430910,136472,249000, ,28420, ,17018
17.09.1961,592547,482707,469985,162016,229425, ,63494, ,15050
19.09.1965,593707,481104,473489,202162,218619, ,37877, ,14831
28.09.1969,574311,472325,466456,242265,173658, ,32166, ,18367
19.11.1972,574394,514081,510728,269943,179532, ,57274, ,3979
03.10.1976,674730,586646,583631,283387,235248, ,59162, ,5834
05.10.1980,669453,567996,563062,269911,206491,9242,74167, ,3251
06.03.1983,668943,577034,573413,260126,229956,40665,39754, ,2912
25.01.1987,678259,550547,546382,234676,189810,61336,55024, ,5536
02.12.1990,684332,515923,511392,220724,171189,33200,67190,2817,16272
16.10.1994,672483,531738,524262,219512,169100,63729,46639,9057,16225
27.09.1998,662124,539319,534497,238020,157169,66570,42281,8630,21827
22.09.2002,670457,515531,514091,214189,149066,84702,45992,9785,10357
18.09.2005,686538,522823,521043,198773,141658,77448,60136,30105,12923
27.09.2009,703424,496338,492274,126700,132283,88310,76764,44508,23709
